Classification,Summary
0,adult grade iii lymphomatoid granulomatosis diagnosis and patients who have deterioration of their clinical status or laboratory parameters between the time of enrollment and transplant such that they no longer meet entry criteria may be removed from study at the discretion of the treating physician or principal investigator
1,multiple myeloma diagnosis and indwelling central venous cateder or willingness to undergo intra venous central line placement
0,prostatic neoplasms diagnosis and bmi greater_than thirty
1,testicular germ cell tumor diagnosis and more than thirty days since prior radiotherapy and recovered unless evidence of progressive disease has been documented
1,tseven hundred and ninetym mutation detected from circulating tumor dna either by pana mutyper or cobas egfr mutation test
1,advanced solid tumors diagnosis and alkaline phosphatase alp less_than doc unl
0,hepatocellular carcinoma diagnosis and contraindications of operation of other organ system
1,stage zero vulvar cancer diagnosis and at least six months since clinic therapy for lower extremity lymphedema
0,metastatic breast cancer diagnosis and concurrent intake of medication with clinically relevant neurotoxicity or during thirty days prior to recruitment
1,recurrent childhood lymphoblastic lymphoma diagnosis and patient must be not eligible for conventional allogeneic hematopoietic cell transplantation hct and must have disease expected to be stable for at least one hundred days without chemotherapy patients with hematologic malignancies treatable with hct or with b cell malignancy except those curable with autologous transplant will be included patients not eligible for active disease specific protocols may be enrolled in this protocol patients will include the following
0,breast cancer diagnosis and history of significant gi surgery as determined by investigator
0,hepatic cancer diagnosis and patients are also excluded from pregnancy testing if they are at least fifty years of age and have not menstruated for at least twelve months or have documented follicle stimulating hormone fsh level of greater than forty miu ml
0,stage ivb squamous cell carcinoma of the lip and oral cavity diagnosis and patients with the following mood disorders as judged by the investigator or psychiatrist or as result of patient mood assessment questionnaire treating physician to decide on whether to administer questionnaire
1,histologic cytologic or radiologic documentation of metastatic squamous cell carcinoma or adenocarcinoma of the esophagus or gastroesophageal junction
0,hematopoietic and lymphoid cell neoplasm diagnosis and karnofsky scores less_than sixty or lansky score less_than fifty
1,stage iiia melanoma diagnosis and women of childbearing potential wocbp must be using an adequate method of contraception to avoid pregnancy throughout the study and for up to twenty-six weeks after the last dose of investigational product in such manner that the risk of pregnancy is minimized in general the decision for appropriate methods to prevent pregnancy should be determined by discussions between the investigator and the study subject wocbp include any female who has experienced menarche and who has not undergone successful surgical sterilization hysterectomy bilateral tubal ligation or bilateral oophorectomy or is not post menopausal post menopause is defined as
0,neoplasms diagnosis and not sufficiently recovered from previous treatment toxicity present based on laboratory values and general status
1,peripheral cell lymphoma nos diagnosis and scans and bone marrow biopsies performed within four weeks of commencement of therapy will be acceptable provided they have been performed according to study requirements
1,histologically confirmed high grade glioma who grade iii or iv at any site within the brain including the following
0,liver cancer diagnosis and five metastatic lesions or greater_than three metastatic lesions in patients with an untreated primary site are ineligible ipsilateral hilar and mediastinal lymph nodes are considered part of an untreated primary site and are not counted as metastatic lesions
1,ovarian cancer diagnosis and radiographically measurable disease phase ii
1,recurrent squamous cell carcinoma of the oropharynx diagnosis and more than four weeks since prior radiotherapy
1,non small cell lung cancer diagnosis and the patient o two saturation must be greater_than 9two on room air
0,atypical fibroxanthoma diagnosis and patients must have had no prior use of pazopanib or similar multi targeted tyrosine kinase inhibitors tki
1,ewing family of tumors diagnosis and all participants who have or will receive treatment at sjcrh with huone doc eightkthree hundred and twenty-twoa
1,mixed lineage leukemia mll rearranged nine twenty-two qthirty-four qone doc complex cytogenetics five or more chromosomal abnormalities high white blood cell wbc at diagnosis greater_than equal_than thirty zero for lineage or greater_than equal_than five0 zero for lineage
1,sarcoma diagnosis and antifungals voriconazole itraconazole or ketoconazole
0,oral cancer diagnosis and any investigational agent prior to the onest study medication
1,stage iva squamous cell carcinoma of the larynx diagnosis and platelet count of greater_than equal_than one hundred zero ul
0,invasive breast cancer diagnosis and history of cardiac disease
0,stage iic rectal cancer diagnosis and evidence of uncontrolled seizures central nervous system disorders or psychiatric disability judged by the investigator to be clinically significant precluding informed consent or interfering with compliance of treatment protocol or follow up
0,noncontiguous stage ii marginal zone lymphoma diagnosis and patients with active bacterial or fungal infections unresponsive to medical therapy
1,noncontiguous stage ii grade three follicular lymphoma diagnosis and donor
0,recurrent parathyroid cancer diagnosis and prior therapy with herceptin
1,lymphoma diagnosis and patients must have performance status of zubrod three or better
0,glioblastoma diagnosis and six pregnant women are excluded because mebendazole is class agent with the potential for teratogenic effects
